group,arm,start,rank,peak,trough,drawdown,recovery,peak_to_recovery_calendar_days
full,V30,2016-05-01,2,2020-02-17,2020-03-23,0.3395559143433676,2020-07-20,154
full,V30,2016-05-01,3,2026-03-12,2026-06-30,0.30635768752323644,,
full,V35,2009-11-01,1,2011-07-13,2014-03-28,0.4245492005183311,2014-12-04,1240
full,V35,2009-11-01,2,2024-05-29,2024-09-11,0.4099178022878309,2025-09-11,470
full,V35,2009-11-01,3,2015-06-09,2016-05-19,0.3003069171138123,2016-10-24,503
full,V35,2010-05-01,1,2011-07-13,2014-03-28,0.42383005927861617,2014-12-04,1240
full,V35,2010-05-01,2,2024-05-29,2024-09-11,0.40740134105316694,2025-09-15,474
full,V35,2010-05-01,3,2015-06-09,2016-05-19,0.2998569788662684,2016-10-24,503
full,V35,2010-11-01,1,2011-07-13,2014-03-28,0.443031207526689,2014-12-04,1240
full,V35,2010-11-01,2,2024-05-29,2024-09-11,0.4100265602440053,2025-10-09,498
full,V35,2010-11-01,3,2020-02-17,2020-03-23,0.31065456972069583,2020-07-07,141
full,V35,2011-05-01,1,2024-05-29,2024-09-11,0.4099779569881953,2025-09-11,470
full,V35,2011-05-01,2,2013-02-08,2014-03-28,0.38724489352280456,2014-12-03,663
full,V35,2011-05-01,3,2011-05-20,2012-09-26,0.3516650931915535,2013-02-08,630
full,V35,2011-11-01,1,2024-05-29,2024-09-11,0.40666963530772704,2025-09-12,471
full,V35,2011-11-01,2,2013-02-08,2014-03-28,0.3837278957678131,2014-12-03,663
full,V35,2011-11-01,3,2015-06-09,2016-05-19,0.3004031695350329,2016-10-24,503
full,V35,2012-05-01,1,2024-05-29,2024-09-11,0.41445525361193014,2025-09-05,464
full,V35,2012-05-01,2,2013-02-08,2014-03-28,0.41166640432608137,2014-12-04,664
full,V35,2012-05-01,3,2020-02-17,2020-03-23,0.31089043572473885,2020-07-07,141
full,V35,2012-11-01,1,2024-05-29,2024-09-11,0.41219762946721195,2025-09-05,464
full,V35,2012-11-01,2,2013-02-08,2014-03-28,0.3581233202124531,2014-12-02,662
full,V35,2012-11-01,3,2015-06-09,2016-05-19,0.2989750748456834,2016-10-24,503
full,V35,2013-05-01,1,2024-05-29,2024-09-11,0.40947619567870774,2025-09-05,464
full,V35,2013-05-01,2,2015-06-09,2016-05-19,0.3058135401866726,2016-10-25,504
full,V35,2013-05-01,3,2021-09-22,2021-11-16,0.28617172505761235,2022-04-14,204
full,V35,2013-11-01,1,2024-05-29,2024-09-11,0.40545151090298726,2025-09-05,464
full,V35,2013-11-01,2,2015-06-09,2016-05-19,0.29761613611397764,2016-10-24,503
full,V35,2013-11-01,3,2021-09-22,2021-11-16,0.2830911658876263,2022-03-29,188
full,V35,2014-05-01,1,2024-05-29,2024-09-11,0.41014976394727043,2025-10-09,498
full,V35,2014-05-01,2,2015-06-09,2016-05-19,0.30600406775829747,2016-10-25,504
full,V35,2014-05-01,3,2021-09-22,2021-11-16,0.2843354424135227,2022-04-14,204
full,V35,2014-11-01,1,2024-05-29,2024-09-11,0.4071932542261517,2025-08-15,443
full,V35,2014-11-01,2,2015-06-09,2016-05-18,0.3837999658478093,2017-02-22,624
full,V35,2014-11-01,3,2020-02-17,2020-03-23,0.31079611669759244,2020-07-07,141
full,V35,2015-05-01,1,2024-05-29,2024-09-11,0.4075319583520337,2025-09-05,464
full,V35,2015-05-01,2,2015-12-25,2016-05-18,0.3614090445243363,2017-01-24,396
full,V35,2015-05-01,3,2020-02-17,2020-03-23,0.30954046156489856,2020-07-07,141
full,V35,2015-11-01,1,2024-05-29,2024-09-11,0.41291365087912724,2025-09-05,464
full,V35,2015-11-01,2,2015-12-25,2016-05-18,0.36446181353052354,2017-01-24,396
full,V35,2015-11-01,3,2020-02-17,2020-03-23,0.3094814160605822,2020-07-07,141
full,V35,2016-05-01,1,2024-05-29,2024-09-11,0.4089173970012253,2025-09-12,471
full,V35,2016-05-01,2,2020-02-17,2020-03-23,0.3099661614230842,2020-07-07,141
full,V35,2016-05-01,3,2021-09-22,2021-11-16,0.2840293479425764,2022-03-03,162
full,V30L60,2009-11-01,1,2011-07-13,2014-03-20,0.3747012972434358,2014-12-03,1239
full,V30L60,2009-11-01,2,2024-05-29,2024-09-11,0.3518191988578655,2025-03-03,278
full,V30L60,2009-11-01,3,2020-01-03,2020-03-23,0.3280435849733544,2020-07-07,186
full,V30L60,2010-05-01,1,2024-05-29,2024-09-11,0.38077496421827484,2025-08-15,443
full,V30L60,2010-05-01,2,2011-07-13,2014-03-20,0.37893949538427074,2014-12-03,1239
