trade_date,security_code,security_name,exchange,quality_tier,quality_tier_label,quality_score,pool_layer,valuation_tier,valuation_tier_effective,valuation_tier_changed,fair_price_low,fair_price_high,band_position,margin_of_safety,model_intrinsic_value,model_band_source,model_pv,strategy_tag,total_market_cap_bn,signal_state,review_frozen,note,gap_trading_days,gap_return,gap_max_vol_ratio,gap_max_vol_day,close,high,low,pct_chg,amount,ma20,ma60,amount_ma20,data_source,screened_at_utc
2026-08-21,002372,伟星新材,SZSE,L2,L2,75.7,core,高估,高估,False,4.82,5.89,越带顶+41%,,5.359,模型带·2026-06-30,1.5451,A-现金流复利型,13.1820,ok,False,,,,,,8.28,8.54,8.23,-2.5882,90215568.0,8.574,8.602,124027496.75,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz002372,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:42+00:00
2026-08-21,603993,洛阳钼业,SSE,L2,L2,72.0,core,较高估,较高估,False,14.41,17.61,越带顶+6%,,16.0061,模型带·2026-06-30,1.1633,F-资源NAV型,398.3620,ok,False,,,,,,18.62,18.73,18.19,1.9157,3273487238.0,19.2265,18.7345,4548068964.75,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh603993,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:41+00:00
2026-08-21,000408,藏格矿业,SZSE,L2,L2,66.0,core,高估,高估,False,20.03,24.48,越带顶+219%,,22.2509,模型带·2026-06-30,3.514,F-资源NAV型,122.6730,ok,False,,,,,,78.19,79.1,77.16,1.4137,1045204825.0,81.0395,76.1982,1294754749.5,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000408,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:42+00:00
2026-08-21,000792,盐湖股份,SZSE,L2,L2,73.1,core,高估,高估,False,13.00,15.89,越带顶+81%,,14.4486,模型带·2026-06-30,1.994,F-资源NAV型,152.4500,ok,False,,,,,,28.81,28.94,27.51,3.1507,2219925740.0,28.0765,28.4273,1724729790.45,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000792,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:42+00:00
2026-08-21,002532,天山铝业,SZSE,L2,L2,69.7,core,较低估,较低估,False,13.56,16.58,低于带底-7%,0.1894,15.069,模型带·2026-06-30,0.8408,H-成本曲线周期型,58.6460,ok,False,,,,,,12.67,12.72,12.34,2.1774,1043926912.0,12.9575,12.4565,1307271872.65,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz002532,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:43+00:00
2026-08-21,000933,神火股份,SZSE,L2,L2,69.8,core,较低估,较低估,False,26.34,32.20,低于带底-2%,0.1354,29.2697,模型带·2026-06-30,0.8808,F-资源NAV型,57.9790,ok,False,,,,,,25.78,25.82,25.17,2.099,1064064344.0,26.104,25.2313,1496177064.75,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000933,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:47+00:00
2026-08-21,002128,电投能源,SZSE,L2,L2,71.7,core,较低估,较低估,False,31.39,38.36,低于带底-14%,0.286,34.8754,模型带·2026-06-30,0.7776,F-资源NAV型,84.7900,ok,False,,,,,,27.12,27.25,26.79,0.7429,142914264.0,27.063,26.4853,295763617.95,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz002128,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:44+00:00
2026-08-21,600989,宝丰能源,SSE,L2,L2,73.0,core,较低估,较低估,False,24.94,30.49,低于带底-4%,0.1519,27.7153,模型带·2026-06-30,0.8681,H-成本曲线周期型,176.4410,ok,False,,,,,,24.06,24.27,23.36,2.8205,2013446664.0,23.345,22.5497,1681595265.95,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600989,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:44+00:00
2026-08-21,603505,金石资源,SSE,L1,L1,74.9,core,高估,高估,False,6.86,8.38,越带顶+82%,,7.6188,模型带·2026-06-30,2.0056,F-资源NAV型,12.8610,ok,False,,,,,,15.28,15.36,14.97,-0.7147,154205760.0,16.246,17.6375,197962379.4,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh603505,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:44+00:00
2026-08-21,000893,亚钾国际,SZSE,L2,L2,65.3,core,高估,高估,False,23.62,28.86,越带顶+64%,,26.2405,模型带·2026-06-30,1.8052,F-资源NAV型,43.7720,ok,False,,,,,,47.37,48.25,47.12,-0.941,454500939.0,48.4665,45.4805,738131163.05,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000893,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:48+00:00
