security_code,security_name,entry_date,exit_date,holding_days,buys,sells,invested,proceeds,dividends,return_pct,max_drawdown_in_cycle,max_money_drawdown,entry_stop,entry_stop_ma,entry_pv_ratio,entry_upside,entry_intrinsic_value,entry_band_low,entry_band_high,exit_reason
002466,天齐锂业,2025-06-16,2025-11-27,164,7,2,1002477.00,1749946.00,0.00,0.745622,0.188709,0.188709,29.4790,60,0.3897,1.5803,77.4856,73.6036,81.3676,换仓：让位给空间更大的600970
603993,洛阳钼业,2025-06-17,2025-07-17,30,3,1,3187.00,3312.50,76.50,0.039379,0.069284,0.067787,7.0327,60,0.6655,0.5084,11.7960,11.2050,12.3870,换仓：让位给空间更大的688516
601658,,2025-06-26,2025-07-23,27,4,1,2281.00,2260.00,0.00,-0.009206,0.032815,0.040024,5.2729,60,0.7887,0.2590,7.1257,6.7687,7.4827,换仓：让位给空间更大的000792
688516,奥特维,2025-07-22,2026-02-25,218,1,1,245304.00,698328.00,3600.00,1.846786,0.250245,0.247813,31.9727,60,0.4435,1.2209,75.6645,71.8737,79.4553,涨幅≥125%清空
601658,,2025-07-24,2025-07-28,4,1,1,560.00,563.00,0.00,0.005357,0.000000,0.000000,5.4522,60,0.7877,0.2809,7.1732,6.8138,7.5326,换仓：让位给空间更大的000792
600970,中材国际,2025-07-24,2025-09-18,56,3,1,2769.00,2625.00,0.00,-0.052004,0.063169,0.054604,8.7988,60,0.5186,0.9302,18.2402,17.3264,19.1540,跌破建仓日MA60止损
601658,,2025-08-12,2025-08-28,16,1,1,600.00,600.00,0.00,0.000000,0.043062,0.043062,5.5708,60,0.8440,0.1770,7.0619,6.7081,7.4157,换仓：让位给空间更大的000792
601997,,2025-08-26,2025-08-27,1,1,1,632.00,616.00,0.00,-0.025316,0.000000,0.000000,6.3890,60,0.8252,0.2387,7.8285,7.4363,8.2207,跌破建仓日MA60止损
601658,,2025-09-08,2025-09-17,9,2,1,1247.00,1242.00,0.00,-0.004010,0.015949,0.016738,5.8248,60,0.9096,0.0941,6.8162,6.4747,7.1577,换仓：让位给空间更大的000792
601665,,2025-10-27,2025-10-30,3,1,1,606.00,588.00,0.00,-0.029703,0.029703,0.029703,5.8940,60,0.8839,0.1370,6.8903,6.5451,7.2355,换仓：让位给空间更大的000792
600970,中材国际,2025-10-27,2025-11-19,23,8,1,743635.00,700068.00,0.00,-0.058587,0.061983,0.068012,9.1130,60,0.5024,0.9375,18.9681,18.0178,19.9184,跌破建仓日MA60止损
002839,,2025-11-03,2025-11-24,21,2,1,913.00,908.00,0.00,-0.005476,0.040426,0.040426,4.3778,60,0.8426,0.1658,5.2695,5.0055,5.5335,换仓：让位给空间更大的000338
