snapshot,sample,arm,reference,metric,level,paired_delta,positive,n
原快照,全样本,BUY1,BASE,滚动5年回撤中位,0.44981550000000003,-0.004389500000000018,6,14
原快照,全样本,BUY1,BASE,滚动5年Calmar中位,1.0151940000000002,0.00843550000000004,7,14
原快照,全样本,BUY1,BASE,滚动5年Sharpe中位,0.9945059999999999,0.05491100000000004,8,14
原快照,全样本,BUY1,BASE,滚动5年为负的窗口占比,0.0,0.0,2,14
原快照,全样本,BUY1,BASE,滚动5年窗口数,102.0,0.0,0,14
原快照,全样本,BUY1,BASE,互不重叠5年块中位,0.5578725,-0.05023950000000005,4,14
原快照,全样本,BUY1,BASE,滚动10年年化中位,0.4142905,-0.02119399999999999,6,14
原快照,全样本,BUY1,BASE,滚动10年窗口数,42.0,0.0,0,14
原快照,全样本,BUY1,BASE,逐年收益中位,0.323275,-0.07446350000000002,0,14
原快照,全样本,BUY1,BASE,逐年为正比例,0.7596155,0.0,0,14
原快照,全样本,BUY1,BASE,逐年最差,-0.2344215,0.004838000000000009,8,14
原快照,全样本,BUY1,BASE,完整自然年数,12.5,0.0,0,14
原快照,全样本,BUY1,SB1,年化,0.396515,-0.04581650000000001,3,14
原快照,全样本,BUY1,SB1,最大回撤,0.6805669999999999,-0.015348000000000028,6,14
原快照,全样本,BUY1,SB1,Sharpe,0.7727155,-0.06787999999999994,3,14
原快照,全样本,BUY1,SB1,Calmar,0.549022,-0.05011500000000002,4,14
原快照,全样本,BUY1,SB1,平均仓位,1.594728,-0.05332999999999999,0,14
原快照,全样本,BUY1,SB1,年均换手,7.756375,0.635249,13,14
原快照,全样本,BUY1,SB1,持仓数中位,5.0,-1.0,0,14
原快照,全样本,BUY1,SB1,单票权重中位,0.6452725,-0.003481999999999985,5,14
原快照,全样本,BUY1,SB1,单票权重P90,0.897507,-0.023351000000000066,4,14
原快照,全样本,BUY1,SB1,单票权重最大,1.0695204999999999,-0.07183849999999992,4,14
原快照,全样本,BUY1,SB1,前三权重中位,1.507236,0.04068050000000001,14,14
原快照,全样本,BUY1,SB1,单票超60%天数占比,0.776951,-0.01715899999999998,6,14
原快照,全样本,BUY1,SB1,滚动3年年化中位,0.4715195,-0.01639099999999999,5,14
原快照,全样本,BUY1,SB1,滚动3年回撤中位,0.4400655,0.0036420000000000063,8,14
原快照,全样本,BUY1,SB1,滚动3年Calmar中位,1.039443,-0.06404700000000002,3,14
原快照,全样本,BUY1,SB1,滚动3年Sharpe中位,0.992855,-0.023413499999999976,7,14
原快照,全样本,BUY1,SB1,滚动3年为负的窗口占比,0.0259135,0.0,5,14
原快照,全样本,BUY1,SB1,滚动5年年化中位,0.513197,-0.03118499999999999,6,14
原快照,全样本,BUY1,SB1,滚动5年年化P25,0.3354705,-0.03259000000000001,5,14
原快照,全样本,BUY1,SB1,滚动5年年化最差,0.11148,-0.01058350000000001,6,14
原快照,全样本,BUY1,SB1,滚动5年回撤中位,0.44981550000000003,0.005425999999999986,8,14
原快照,全样本,BUY1,SB1,滚动5年Calmar中位,1.0151940000000002,0.01715,8,14
原快照,全样本,BUY1,SB1,滚动5年Sharpe中位,0.9945059999999999,-0.013519000000000003,7,14
原快照,全样本,BUY1,SB1,滚动5年为负的窗口占比,0.0,0.0,2,14
原快照,全样本,BUY1,SB1,滚动5年窗口数,102.0,0.0,0,14
原快照,全样本,BUY1,SB1,互不重叠5年块中位,0.5578725,-0.051260999999999945,4,14
原快照,全样本,BUY1,SB1,滚动10年年化中位,0.4142905,-0.021154000000000006,6,14
原快照,全样本,BUY1,SB1,滚动10年窗口数,42.0,0.0,0,14
原快照,全样本,BUY1,SB1,逐年收益中位,0.323275,-0.05806699999999998,1,14
原快照,全样本,BUY1,SB1,逐年为正比例,0.7596155,0.0,1,14
原快照,全样本,BUY1,SB1,逐年最差,-0.2344215,0.00576500000000002,10,14
原快照,全样本,BUY1,SB1,完整自然年数,12.5,0.0,0,14
原快照,全样本,SB1_BUY1,BASE,年化,0.396929,-0.04501050000000001,3,14
原快照,全样本,SB1_BUY1,BASE,最大回撤,0.678926,-0.01909099999999997,2,14
原快照,全样本,SB1_BUY1,BASE,Sharpe,0.768594,-0.059614999999999974,5,14
原快照,全样本,SB1_BUY1,BASE,Calmar,0.5524255,-0.028087500000000015,4,14
原快照,全样本,SB1_BUY1,BASE,平均仓位,1.58966,-0.0596954999999999,0,14
原快照,全样本,SB1_BUY1,BASE,年均换手,7.4917425,0.5233979999999998,14,14
原快照,全样本,SB1_BUY1,BASE,持仓数中位,5.0,-2.0,0,14
原快照,全样本,SB1_BUY1,BASE,单票权重中位,0.641455,-0.009546000000000054,4,14
原快照,全样本,SB1_BUY1,BASE,单票权重P90,0.8706430000000001,-0.03221999999999997,2,14
原快照,全样本,SB1_BUY1,BASE,单票权重最大,1.0692650000000001,-0.07240399999999991,3,14
