group,arm,metric,paired_delta_vs_wc,positive_starts,starts
full,MC150M16SEP09,滚动5年年化最差窗口末日,0.0,2,14
full,MC150M16SEP09,最大回撤起日,0.0,2,14
full,MC150M16SEP09,最大回撤止日,2.5,8,14
full,MC150M16SEP09,末次净值日,0.0,0,14
A,MC050M14SEP09,年化,-0.00590147154311238,5,14
A,MC050M14SEP09,最大回撤,-0.04952469237581525,4,14
A,MC050M14SEP09,Sharpe,-0.009547043128397159,4,14
A,MC050M14SEP09,Calmar,0.038000430562084464,10,14
A,MC050M14SEP09,平均仓位,0.018354029824538376,12,14
A,MC050M14SEP09,年均换手,0.15498458530575832,11,14
A,MC050M14SEP09,持仓数中位,0.0,1,14
A,MC050M14SEP09,单票权重中位,0.006315613680108356,13,14
A,MC050M14SEP09,单票权重P90,0.01589361005654022,10,14
A,MC050M14SEP09,单票权重最大,0.05639751390277414,10,14
A,MC050M14SEP09,前三权重中位,0.04598311854178605,13,14
A,MC050M14SEP09,单票超60%天数占比,0.020191606507698523,13,14
A,MC050M14SEP09,滚动3年年化中位,0.00488074495983537,9,14
A,MC050M14SEP09,滚动3年回撤中位,0.014451622502994532,10,14
A,MC050M14SEP09,滚动3年Calmar中位,-0.05749219132810779,3,14
A,MC050M14SEP09,滚动3年Sharpe中位,-0.04279207450854006,6,14
A,MC050M14SEP09,滚动3年为负的窗口占比,0.0,3,14
A,MC050M14SEP09,滚动5年年化中位,-0.0008199013331977589,7,14
A,MC050M14SEP09,滚动5年年化P25,-0.004455643079747884,5,14
A,MC050M14SEP09,滚动5年年化最差,-0.006594224375311486,7,14
A,MC050M14SEP09,滚动5年回撤中位,0.021217938565421257,11,14
A,MC050M14SEP09,滚动5年Calmar中位,-0.03841475428902241,5,14
A,MC050M14SEP09,滚动5年Sharpe中位,-0.018290045757055395,7,14
