date,net_equity,cash,positions,cash_ratio,debt,margin_ratio,top1_weight,top3_weight
2017-03-31,6622020.86,0.00,4,0.0000,4435184.14,2.4931,0.6461,1.5429
2017-04-05,6658613.40,0.00,4,0.0000,4437310.60,2.5006,0.6422,1.5367
2017-04-06,6700714.65,0.00,5,0.0000,4462552.35,2.5015,0.6399,1.5315
2017-04-07,6682213.74,0.00,5,0.0000,4462980.26,2.4973,0.6380,1.5359
2017-04-10,6755398.54,0.00,5,0.0000,4497359.46,2.5021,0.6415,1.5249
2017-04-11,6626506.28,0.00,5,0.0000,4497790.72,2.4733,0.6487,1.5350
2017-04-12,6576779.99,0.00,5,0.0000,4498222.01,2.4621,0.6469,1.5411
2017-04-13,6635793.65,0.00,5,0.0000,4498653.35,2.4751,0.6424,1.5355
2017-04-14,6561876.27,0.00,5,0.0000,4499084.73,2.4585,0.6480,1.5420
2017-04-17,6740394.02,0.00,5,0.0000,4500378.98,2.4977,0.6328,1.5285
2017-04-18,6736265.47,0.00,5,0.0000,4500810.53,2.4967,0.6411,1.5323
2017-04-19,6772289.80,0.00,5,0.0000,4510057.20,2.5016,0.6571,1.5296
2017-04-20,6778669.29,0.00,5,0.0000,4514599.71,2.5015,0.6527,1.5276
2017-04-21,6812113.16,0.00,5,0.0000,4536817.84,2.5015,0.6474,1.5229
2017-04-24,6711525.05,0.00,5,0.0000,4538122.95,2.4789,0.6491,1.5309
2017-04-25,6848292.67,0.00,5,0.0000,4560907.33,2.5015,0.6621,1.5233
2017-04-26,6813440.32,0.00,5,0.0000,4561344.68,2.4937,0.6575,1.5248
2017-04-27,6854034.90,0.00,5,0.0000,4564585.10,2.5016,0.6565,1.5241
2017-04-28,6820123.20,0.00,5,0.0000,4565022.80,2.4940,0.6484,1.5265
2017-05-02,6866627.17,0.00,5,0.0000,4573072.83,2.5015,0.6434,1.5247
2017-05-03,6869421.66,0.00,5,0.0000,4573511.34,2.5020,0.6457,1.5246
2017-05-04,6796240.10,0.00,5,0.0000,4573949.90,2.4859,0.6468,1.5340
2017-05-05,6716835.50,0.00,5,0.0000,4574388.50,2.4684,0.6538,1.5424
2017-05-08,6557141.58,0.00,5,0.0000,4575704.42,2.4330,0.6700,1.5551
2017-05-09,6472450.82,0.00,5,0.0000,4576143.18,2.4144,0.6740,1.5648
2017-05-10,6496516.01,0.00,5,0.0000,4576581.99,2.4195,0.6712,1.5625
2017-05-11,6734064.16,0.00,5,0.0000,4577020.84,2.4713,0.6543,1.5422
