date,net_equity,cash,positions,cash_ratio,debt,margin_ratio,top1_weight,top3_weight
2024-10-15,301937698.00,-1411.79,7,-0.0000,210129929.21,2.4369,0.6079,1.3335
2024-10-16,310806887.55,-1411.79,7,-0.0000,210150078.66,2.4790,0.5947,1.3189
2024-10-17,304335512.18,-1411.79,7,-0.0000,210170230.03,2.4480,0.5986,1.3301
2024-10-18,310139734.87,-1411.79,7,-0.0000,210190383.34,2.4755,0.5966,1.3122
2024-10-21,305406848.14,-1411.79,7,-0.0000,210250849.07,2.4526,0.6049,1.3196
2024-10-22,305059764.87,-241.54,8,-0.0000,203410526.59,2.4997,0.6014,1.3196
2024-10-23,306512203.68,0.00,9,0.0000,204137045.32,2.5015,0.6033,1.3154
2024-10-24,320338916.21,-982.08,10,-0.0000,213206464.71,2.5025,0.6191,1.3042
2024-10-25,321966694.52,0.00,10,0.0000,214442267.48,2.5014,0.6205,1.2978
2024-10-28,324518727.50,0.00,10,0.0000,216137272.50,2.5014,0.6305,1.2651
2024-10-29,317626186.56,-353.58,9,-0.0000,211546381.86,2.5014,0.6281,1.2546
2024-10-30,317322929.28,348.26,9,0.0000,211344661.97,2.5014,0.6396,1.2585
2024-10-31,313740474.34,414.90,9,0.0000,208958504.57,2.5014,0.6302,1.3017
2024-11-01,326884305.50,-94.38,9,-0.0000,217713424.13,2.5014,0.6356,1.3365
2024-11-04,335040914.18,0.00,9,0.0000,223137616.82,2.5015,0.6316,1.3326
2024-11-05,343957220.70,0.00,9,0.0000,229083757.30,2.5014,0.6195,1.3142
2024-11-06,340886940.55,43.06,10,0.0000,227038726.51,2.5014,0.6185,1.3133
2024-11-07,354212330.33,0.00,10,0.0000,235914382.67,2.5014,0.6116,1.2866
2024-11-08,346825252.57,173.03,10,0.0000,230993577.47,2.5014,0.6118,1.3200
2024-11-11,354032762.78,0.00,10,0.0000,235794565.22,2.5014,0.6277,1.3678
2024-11-12,356102056.39,0.00,10,0.0000,237172377.61,2.5014,0.6388,1.3810
2024-11-13,363998152.44,0.00,9,0.0000,242423097.56,2.5015,0.6404,1.3850
2024-11-14,342897382.44,68.90,9,0.0000,228376865.46,2.5015,0.6342,1.4192
2024-11-15,327927075.19,0.00,8,0.0000,220003643.81,2.4906,0.6275,1.4450
2024-11-18,324374314.47,0.00,8,0.0000,220066932.53,2.4740,0.6345,1.4480
2024-11-19,343500928.08,0.00,8,0.0000,228772007.92,2.5015,0.6594,1.4449
