security_code,security_name,report_date,notice_date,disclosure_type,report_label,parent_netprofit,total_operate_income,netprofit_yoy,revenue_yoy,is_new,source,retrieved_at_utc
871484,聚合电力,2026-06-30,2026-07-30,periodic_report,2026年 半年报,1529524.36,31220429.33,-30.05,-36.8051585169,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
872266,百拓股份,2026-06-30,2026-07-30,periodic_report,2026年 半年报,-474177.32,122641.51,31.51,-95.5163670239,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
873485,中天青鼎,2026-06-30,2026-07-30,periodic_report,2026年 半年报,192901.32,15592023.64,-88.31,-10.3768555427,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
873977,宏图智能,2026-06-30,2026-07-30,periodic_report,2026年 半年报,8535969.73,108730150.52,39.5,-78.4233873051,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
874345,秦鼎精铸,2026-06-30,2026-07-30,periodic_report,2026年 半年报,1261186.28,43429443.9,-62.11,-3.8070105811,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
874715,美富特,2026-06-30,2026-07-30,periodic_report,2026年 半年报,5975426.32,147821320.19,209.12,68.4367858109,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
900932,陆家B股,2026-06-30,2026-07-30,periodic_report,2026年 半年报,1108155492.41,8098464183.29,35.91,22.7478103144,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
002290,禾盛新材,2026-06-30,2026-07-29,periodic_report,2026年 半年报,136212561.61,1244743312.28,40.42,2.7448558437,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
301071,力量钻石,2026-06-30,2026-07-29,periodic_report,2026年 半年报,90081556.09,437713020.3,247.61,80.9413890974,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
603339,四方科技,2026-06-30,2026-07-29,periodic_report,2026年 半年报,86291554.71,965232260.48,24.48,12.0457460455,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
830873,奥测世纪,2026-06-30,2026-07-29,periodic_report,2026年 半年报,3493521.82,27497479.95,3634.23,19.00927702,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
831408,大美游轮,2026-06-30,2026-07-29,periodic_report,2026年 半年报,42879464.44,77680790.25,72.01,-15.6807217133,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
832459,华澳能源,2026-06-30,2026-07-29,periodic_report,2026年 半年报,-3679163.83,211600190.4,36.51,10.6354126344,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
870581,中原网,2026-06-30,2026-07-29,periodic_report,2026年 半年报,36708.89,6449573.11,-90.45,-25.9659844995,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
871703,宝泉旅游,2026-06-30,2026-07-29,periodic_report,2026年 半年报,127611866.16,294020054.07,57.09,39.8885975991,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
872284,新大长远,2026-06-30,2026-07-29,periodic_report,2026年 半年报,-4049402.04,11908129.23,-4.39,24.4111515008,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
873512,南方数控,2026-06-30,2026-07-29,periodic_report,2026年 半年报,346514.48,15536357.21,114.31,21.1634329013,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
874378,华汇智能,2026-06-30,2026-07-29,periodic_report,2026年 半年报,57375468.22,357191342.16,13.17,1.732433635,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
874838,铭沣科技,2026-06-30,2026-07-29,periodic_report,2026年 半年报,51982078.45,359333411.61,-9.3,-7.9416838313,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
000933,神火股份,2026-06-30,2026-07-28,periodic_report,2026年 半年报,4781377305.4,24790857619.36,151.06,21.3544213506,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
002611,东方精工,2026-06-30,2026-07-28,periodic_report,2026年 半年报,3846229995.51,1690857649.54,867.75,-21.6817305372,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
002848,高斯贝尔,2026-06-30,2026-07-28,periodic_report,2026年 半年报,-5241716.52,330067071.19,83.04,235.5331905234,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
300243,瑞丰高材,2026-06-30,2026-07-28,periodic_report,2026年 半年报,58935886.48,1096926572.59,348.43,9.0417719356,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
