security_code,security_name,before_commit,after_commit,old_v,new_v,change_pct,direction,old_report_date,new_report_date,old_available_at,new_available_at,same_report_and_available_at
601965,中国汽研,318d5ed0^,318d5ed0,13.4884,12.8031,-5.0806619,lower,2026-06-30,2026-06-30,2026-08-26,2026-08-26,True
603067,振华股份,318d5ed0^,318d5ed0,13.0042,13.0151,0.08381907,higher,2026-06-30,2026-06-30,2026-08-28,2026-08-28,True
603129,春风动力,318d5ed0^,318d5ed0,142.2778,142.2778,0.0,unchanged,2026-06-30,2026-06-30,2026-08-18,2026-08-18,True
603156,养元饮品,318d5ed0^,318d5ed0,11.8122,11.8122,0.0,unchanged,2026-06-30,2026-06-30,2026-08-22,2026-08-22,True
603195,公牛集团,318d5ed0^,318d5ed0,22.5982,22.5982,0.0,unchanged,2026-06-30,2026-06-30,2026-08-28,2026-08-28,True
603259,药明康德,318d5ed0^,318d5ed0,80.9542,78.4156,-3.13584718,lower,2026-06-30,2026-06-30,2026-08-04,2026-08-04,True
603279,景津装备,318d5ed0^,318d5ed0,17.0682,17.0682,0.0,unchanged,2026-06-30,2026-06-30,2026-08-26,2026-08-26,True
603288,海天味业,318d5ed0^,318d5ed0,13.1807,13.1807,0.0,unchanged,2026-06-30,2026-06-30,2026-08-27,2026-08-27,True
603338,浙江鼎力,318d5ed0^,318d5ed0,45.9416,48.436,5.4295018,higher,2026-06-30,2026-06-30,2026-08-28,2026-08-28,True
603369,今世缘,318d5ed0^,318d5ed0,28.9339,29.385,1.55907085,higher,2026-06-30,2026-06-30,2026-08-18,2026-08-18,True
603501,豪威集团,318d5ed0^,318d5ed0,40.5691,40.5691,0.0,unchanged,2026-06-30,2026-06-30,2026-08-25,2026-08-25,True
603505,金石资源,318d5ed0^,318d5ed0,5.6206,5.8649,4.34651105,higher,2026-06-30,2026-06-30,2026-08-21,2026-08-21,True
603508,思维列控,318d5ed0^,318d5ed0,16.4165,15.7358,-4.14643803,lower,2026-06-30,2026-06-30,2026-08-08,2026-08-08,True
603529,爱玛科技,318d5ed0^,318d5ed0,24.8924,30.6563,23.15526024,higher,2026-06-30,2026-06-30,2026-08-25,2026-08-25,True
603596,伯特利,318d5ed0^,318d5ed0,18.1006,21.7591,20.21203717,higher,2026-06-30,2026-06-30,2026-08-28,2026-08-28,True
603606,东方电缆,318d5ed0^,318d5ed0,17.6653,17.8279,0.92044856,higher,2026-06-30,2026-06-30,2026-08-05,2026-08-05,True
603806,福斯特,318d5ed0^,318d5ed0,9.2889,9.2889,0.0,unchanged,2026-06-30,2026-06-30,2026-08-20,2026-08-20,True
603855,华荣股份,318d5ed0^,318d5ed0,12.5217,12.5217,0.0,unchanged,2026-06-30,2026-06-30,2026-08-27,2026-08-27,True
603993,洛阳钼业,318d5ed0^,318d5ed0,10.7425,10.6867,-0.51943216,lower,2026-06-30,2026-06-30,2026-08-20,2026-08-20,True
605117,德业股份,318d5ed0^,318d5ed0,31.095,33.9625,9.22173983,higher,2026-06-30,2026-06-30,2026-08-27,2026-08-27,True
605305,中际联合,318d5ed0^,318d5ed0,38.359,36.5137,-4.81060507,lower,2026-06-30,2026-06-30,2026-08-26,2026-08-26,True
605499,东鹏饮料,318d5ed0^,318d5ed0,86.8046,86.8046,0.0,unchanged,2026-06-30,2026-06-30,2026-07-31,2026-07-31,True
688008,澜起科技,318d5ed0^,318d5ed0,41.8829,40.031,-4.42161359,lower,2026-06-30,2026-06-30,2026-08-29,2026-08-29,True
688012,中微公司,318d5ed0^,318d5ed0,48.6808,48.6808,0.0,unchanged,2026-06-30,2026-06-30,2026-08-20,2026-08-20,True
688018,乐鑫科技,318d5ed0^,318d5ed0,34.7267,34.7575,0.08869256,higher,2026-06-30,2026-06-30,2026-07-31,2026-07-31,True
688019,安集科技,318d5ed0^,318d5ed0,66.8956,66.8956,0.0,unchanged,2026-06-30,2026-06-30,2026-08-27,2026-08-27,True
688041,海光信息,318d5ed0^,318d5ed0,15.447,14.9669,-3.10804687,lower,2026-06-30,2026-06-30,2026-08-14,2026-08-14,True
688072,拓荆科技,318d5ed0^,318d5ed0,81.3958,95.3356,17.12594507,higher,2026-06-30,2026-06-30,2026-08-21,2026-08-21,True
688082,盛美上海,318d5ed0^,318d5ed0,53.0572,53.0572,0.0,unchanged,2026-06-30,2026-06-30,2026-08-08,2026-08-08,True
688111,金山办公,318d5ed0^,318d5ed0,44.7947,44.7947,0.0,unchanged,2026-06-30,2026-06-30,2026-08-20,2026-08-20,True
688120,华海清科,318d5ed0^,318d5ed0,27.9821,29.3438,4.86632526,higher,2026-06-30,2026-06-30,2026-08-22,2026-08-22,True
688122,西部超导,318d5ed0^,318d5ed0,17.3852,17.5595,1.0025769,higher,2026-06-30,2026-06-30,2026-08-27,2026-08-27,True
688188,柏楚电子,318d5ed0^,318d5ed0,37.8962,37.2153,-1.79675007,lower,2026-06-30,2026-06-30,2026-08-18,2026-08-18,True
688190,云路股份,318d5ed0^,318d5ed0,37.3753,36.8002,-1.53871675,lower,2026-06-30,2026-06-30,2026-08-29,2026-08-29,True
688200,华峰测控,318d5ed0^,318d5ed0,62.2231,60.7001,-2.44764404,lower,2026-06-30,2026-06-30,2026-08-31,2026-08-31,True
688208,道通科技,318d5ed0^,318d5ed0,17.3942,16.7627,-3.63052052,lower,2026-06-30,2026-06-30,2026-08-25,2026-08-25,True
688235,百济神州,318d5ed0^,318d5ed0,65.1895,65.1895,0.0,unchanged,2026-06-30,2026-06-30,2026-08-27,2026-08-27,True
688271,联影医疗,318d5ed0^,318d5ed0,33.5254,33.3954,-0.38776569,lower,2026-06-30,2026-06-30,2026-08-20,2026-08-20,True
688278,特宝生物,318d5ed0^,318d5ed0,36.8563,36.514,-0.92874217,lower,2026-06-30,2026-06-30,2026-08-19,2026-08-19,True
688281,华秦科技,318d5ed0^,318d5ed0,15.74,15.74,0.0,unchanged,2026-06-30,2026-06-30,2026-08-20,2026-08-20,True
