security_code,security_name,entry_date,exit_date,holding_days,buys,sells,invested,proceeds,dividends,return_pct,max_drawdown_in_cycle,max_money_drawdown,entry_stop,entry_stop_ma,entry_pv_ratio,entry_upside,entry_intrinsic_value,entry_band_low,entry_band_high,exit_reason
601169,,2021-01-06,2021-01-11,5,2,1,969.00,956.00,0.00,-0.013416,0.014433,0.014433,4.8162,60,0.8161,0.2228,5.9305,5.5409,6.3201,跌破建仓日MA60止损
601988,,2021-03-03,2021-03-22,19,5,1,5262.00,5248.00,0.00,-0.002661,0.018127,0.024491,3.2022,60,0.8901,0.1063,3.6176,3.3799,3.8553,换仓：让位给空间更大的601088
600897,,2021-03-04,2021-04-30,57,2,1,1285286.00,1246448.00,0.00,-0.030217,0.067669,0.067717,16.8907,60,0.7837,0.2789,22.8922,21.3882,24.3962,换仓：让位给空间更大的601088
600585,,2021-03-16,2021-03-19,3,2,1,1801014.00,1737572.00,0.00,-0.035226,0.028453,0.026251,52.7973,60,0.5253,0.8983,102.5082,95.7734,109.2430,跌破建仓日MA60止损
601328,,2021-04-19,2021-07-27,99,3,1,2456.00,2323.50,158.50,-0.053950,0.065400,0.067355,4.3442,60,0.8004,0.2468,6.1094,5.7080,6.5108,跌破建仓日MA60止损
601088,中国神华,2021-05-10,2021-07-28,79,1,1,390042.00,347634.00,33666.00,-0.108727,0.115304,0.105314,16.9628,60,0.6240,0.5300,32.0845,29.9765,34.1925,跌破建仓日MA60止损
000338,潍柴动力,2021-08-03,2021-09-30,58,7,2,9594557.00,9049011.20,114263.20,-0.056860,0.168081,0.121953,17.2145,60,0.6313,0.5617,29.8287,27.8690,31.7884,跌破建仓日MA60止损
600585,,2021-09-02,2021-10-14,42,12,1,31700324.00,28543185.00,0.00,-0.099593,0.185298,0.176080,40.4548,60,0.3580,1.7813,120.5419,112.6223,128.4615,跌破建仓日MA60止损
601328,,2021-09-22,2023-12-11,810,54,17,55426161.00,71518894.00,6047184.00,0.290345,0.113924,0.101776,3.7090,60,0.6878,0.4703,6.5428,6.1129,6.9727,换仓：让位给空间更大的601225
601229,,2021-10-14,2021-10-28,14,2,1,5635137.00,5533188.00,0.00,-0.018092,0.027888,0.027888,7.3253,60,0.9097,0.0993,8.2008,7.6620,8.7396,跌破建仓日MA60止损
600015,,2021-10-14,2021-10-28,14,2,2,4840034.00,4854841.00,0.00,0.003059,0.027923,0.010633,5.6270,60,0.9204,0.0922,6.1711,5.7657,6.5765,跌破建仓日MA60止损
600897,,2021-10-15,2021-10-25,10,1,1,2888838.00,2795876.00,0.00,-0.032180,0.043217,0.043217,15.9946,60,0.8039,0.2877,21.2083,19.8149,22.6017,跌破建仓日MA60止损
601818,,2021-10-25,2021-11-02,8,1,1,348.00,338.00,0.00,-0.028736,0.025937,0.025937,3.4018,60,0.8083,0.2372,4.3054,4.0225,4.5883,跌破建仓日MA60止损
