group,arm,metric,level_median,paired_delta_median,positive_starts,better_starts
full,BL08500OP09,滚动5年为负的窗口占比,0.0,0.0,0,4
full,BL08500OP09,滚动5年窗口数,102.0,0.0,0,
full,BL08500OP09,互不重叠5年块中位,0.47962579588654414,-0.15806983706370586,0,0
full,BL08500OP09,滚动10年年化中位,0.3658363895023785,-0.10026066545937429,0,
full,BL08500OP09,滚动10年窗口数,42.0,0.0,0,
full,BL08500OP09,逐年收益中位,0.41261557321381437,-0.009045363361635805,7,7
full,BL08500OP09,逐年为正比例,0.7774725274725275,0.0,4,
full,BL08500OP09,逐年最差,-0.2754088063977736,-0.023960054724263824,3,3
full,BL08500OP09,完整自然年数,12.5,0.0,0,
full,BL08500OP09,强平次数,0.0,0.0,0,
full,BL08500OP09,最低担保比例,1.8322194064535706,0.058619592323877145,10,
full,BL08500OP09,最低股票同跌缓冲,0.29038842792595937,0.02336654889286946,10,
full,BL08500OP09,最低总资产冲击缓冲,0.2903884279259593,0.023366548892869432,10,
full,BL08500OP09,rf覆盖率,1.0,0.0,0,
full,BL08500OP09,年化_交易日口径,0.3624060615986687,-0.08805356431680622,0,
full,BL08500OP09,最低担保比例日,20200323.0,49498.0,9,
full,BL08500OP09,最低股票同跌缓冲日,20200323.0,49498.0,9,
full,BL08500OP09,滚动5年年化最差窗口末日,20200430.0,0.0,4,
full,BL08500OP09,最大回撤起日,20150612.0,0.0,6,
full,BL08500OP09,最大回撤止日,20160213.0,-75.0,4,
full,BL08500OP09,末次净值日,20260828.0,0.0,0,
full,BL09000OP09,年化,0.438776394672875,-0.007515918995663617,6,6
full,BL09000OP09,最大回撤,0.6643314255504761,-0.038700254515084576,3,11
full,BL09000OP09,Sharpe,0.9518825654109571,0.00030665613269037495,7,7
full,BL09000OP09,Calmar,0.6745798050725469,0.03650636021197201,8,8
full,BL09000OP09,平均仓位,1.6012797292208911,-0.056838042247221,0,14
full,BL09000OP09,年均换手,6.196272555660002,-0.4313610422738252,3,11
full,BL09000OP09,持仓数中位,6.0,0.0,0,
full,BL09000OP09,单票权重中位,0.637908334106716,-0.006219698771725457,3,
full,BL09000OP09,单票权重P90,0.7960594403936345,-0.05214853973647082,0,
full,BL09000OP09,单票权重最大,0.9836124114316622,-0.11352659693287792,2,
full,BL09000OP09,前三权重中位,1.433527663500908,-0.024149892036869347,2,
full,BL09000OP09,单票超60%天数占比,0.7739284990310313,-0.026508941230728778,3,
full,BL09000OP09,滚动3年年化中位,0.47844561903523053,-0.026943242866777073,5,5
full,BL09000OP09,滚动3年回撤中位,0.4450563689705743,0.0006684869826100726,8,6
full,BL09000OP09,滚动3年Calmar中位,1.1524090184108122,-0.04526631625548183,5,
full,BL09000OP09,滚动3年Sharpe中位,0.9985170631838138,-0.011574791774323245,7,
full,BL09000OP09,滚动3年为负的窗口占比,0.013894919669995658,-0.0035460992907801418,3,
full,BL09000OP09,滚动5年年化中位,0.4959982538452036,-0.0036285585650824848,6,6
full,BL09000OP09,滚动5年年化P25,0.3832097643875919,-0.03060300860805465,6,6
full,BL09000OP09,滚动5年年化最差,0.16355438752991103,0.03259197117168211,10,10
full,BL09000OP09,滚动5年回撤中位,0.4511075507834257,-0.008091204384353234,5,9
full,BL09000OP09,滚动5年Calmar中位,1.1125499584230258,0.019275148596640368,9,9
full,BL09000OP09,滚动5年Sharpe中位,1.0028493081564078,0.0013127811320641225,7,7
full,BL09000OP09,滚动5年为负的窗口占比,0.0,0.0,2,2
full,BL09000OP09,滚动5年窗口数,102.0,0.0,0,
full,BL09000OP09,互不重叠5年块中位,0.5909430787789722,-0.036171848913579,5,5
full,BL09000OP09,滚动10年年化中位,0.45192675794867776,-0.018424430834430905,6,
full,BL09000OP09,滚动10年窗口数,42.0,0.0,0,
full,BL09000OP09,逐年收益中位,0.38463160973534644,-0.006734693884839715,5,5
full,BL09000OP09,逐年为正比例,0.8153409090909092,0.03125,7,
full,BL09000OP09,逐年最差,-0.1614643450988683,0.057333897409793555,13,13
full,BL09000OP09,完整自然年数,12.5,0.0,0,
full,BL09000OP09,强平次数,0.0,0.0,0,
full,BL09000OP09,最低担保比例,1.8057469291604784,-0.010901688935056497,5,
full,BL09000OP09,最低股票同跌缓冲,0.2800067523297034,-0.00439274888022545,5,
full,BL09000OP09,最低总资产冲击缓冲,0.2800067523297034,-0.0043927488802253944,5,
full,BL09000OP09,rf覆盖率,1.0,0.0,0,
full,BL09000OP09,年化_交易日口径,0.4401968598819338,-0.007549993128328936,6,
full,BL09000OP09,最低担保比例日,20150825.0,0.0,4,
full,BL09000OP09,最低股票同跌缓冲日,20150825.0,0.0,4,
full,BL09000OP09,滚动5年年化最差窗口末日,20190829.0,0.0,3,
full,BL09000OP09,最大回撤起日,20150612.0,0.0,3,
full,BL09000OP09,最大回撤止日,20160201.0,-1.0,3,
full,BL09000OP09,末次净值日,20260828.0,0.0,0,
full,BL09100OP09,年化,0.44823809284968585,0.005075468679863859,8,8
full,BL09100OP09,最大回撤,0.663434676843374,-0.016293705927318103,4,10
full,BL09100OP09,Sharpe,0.9427443114739442,0.014854649356746574,8,8
full,BL09100OP09,Calmar,0.6588968829479636,0.011477258349184394,7,7
