security_code,security_name,report_date,legacy_wc,dedup_wc,operating_wc,financing_receivables,receivable_basis,payable_basis
002379,宏桥控股,2022-12-31,-113755824.23999989,155863280.13000005,195005148.08000004,39141867.95,aggregate,aggregate
002379,宏桥控股,2021-12-31,-7680137.410000086,281606703.4599999,370779444.62999994,89172741.17,aggregate,aggregate
002379,宏桥控股,2020-12-31,-103247306.58000016,167343924.81999993,293768563.3399999,126424638.52,aggregate,aggregate
001232,嘉立创,2025-12-31,-3009464374.8799987,-1507860391.5099998,-1481094172.0299997,26766219.48,aggregate,aggregate
001232,嘉立创,2024-12-31,-2462940913.6299996,-1247187232.9599998,-1194250008.62,52937224.34,aggregate,aggregate
001232,嘉立创,2023-12-31,-1987152345.5799994,-960904076.6000001,-949733553.2100002,11170523.39,aggregate,aggregate
001232,嘉立创,2022-12-31,-1396315523.5100002,-551149812.6099999,-545031310.8799999,6118501.73,aggregate,aggregate
001232,嘉立创,2021-12-31,-1598464441.2700002,-679080820.7499998,-676272199.7499998,2808621.0,aggregate,aggregate
001232,嘉立创,2020-12-31,-1260215447.2799997,-600664542.67,-599684305.5799999,980237.09,aggregate,aggregate
600803,新奥股份,2025-12-31,-19219770000.0,-14190550000.0,-13398140000.0,792410000.0,aggregate,aggregate
600803,新奥股份,2024-12-31,-17950050000.0,-13732060000.0,-13055680000.0,676380000.0,aggregate,aggregate
600803,新奥股份,2023-12-31,-17669660000.0,-13259950000.0,-12231740000.0,1028210000.0,aggregate,aggregate
600803,新奥股份,2022-12-31,-20401700000.0,-15761130000.0,-14844500000.0,916630000.0,aggregate,aggregate
600803,新奥股份,2021-12-31,-23431260000.0,-17034610000.0,-16170720000.0,863890000.0,aggregate,aggregate
600803,新奥股份,2020-12-31,-22671030000.0,-16585670000.0,-15705270000.0,880400000.0,aggregate,aggregate
603596,伯特利,2025-12-31,-1053837425.6500034,203978092.1199999,2312192237.1099997,2108214144.99,aggregate,aggregate
603596,伯特利,2024-12-31,-285727969.6000004,393640739.3100004,1492437601.2700005,1098796861.96,aggregate,aggregate
603596,伯特利,2023-12-31,-1159540739.8999996,-168178342.86000013,1132252737.57,1300431080.43,aggregate,aggregate
603596,伯特利,2022-12-31,-871560356.9800005,-38202264.19999981,773299827.0400002,811502091.24,aggregate,aggregate
603596,伯特利,2021-12-31,-139210405.05999994,93758286.83999991,833214628.7599999,739456341.92,aggregate,aggregate
603596,伯特利,2020-12-31,-278019206.13999987,-29886198.75999999,636365616.72,666251815.48,aggregate,aggregate
603855,华荣股份,2025-12-31,2772017350.41,1688788134.15,1873085528.5700002,184297394.42,aggregate,aggregate
