security_code,security_name,first_sig,n_sig,peak_revenue
002093,国脉科技,2009,7,8.6
000721,西安饮食,2009,4,6.7
601618,中国中冶,2010,15,6338.7
601919,中远海控,2010,13,3910.6
002475,立讯精密,2010,16,3323.4
002493,荣盛石化,2010,15,3264.8
601600,中国铝业,2010,14,2988.9
000906,浙商中拓,2010,16,2355.0
601117,中国化学,2010,16,1901.2
600998,九州通,2010,16,1613.9
601818,光大银行,2010,16,1527.5
000703,恒逸石化,2010,14,1361.5
000656,金科股份,2010,12,1123.1
000701,厦门信达,2010,13,1085.5
600340,*ST华幸,2010,12,1052.1
002416,爱施德,2010,14,951.7
002183,怡亚通,2010,14,944.2
601933,永辉超市,2010,11,932.0
002415,海康威视,2010,16,925.1
600335,国机汽车,2010,16,903.4
600010,包钢股份,2010,14,861.8
002459,晶澳科技,2010,7,815.6
000761,本钢板材,2010,11,779.1
600376,首开股份,2010,12,678.0
600487,亨通光电,2010,16,668.5
601877,正泰电器,2010,16,645.2
002468,申通快递,2010,11,555.9
300122,智飞生物,2010,14,529.6
000629,钒钛股份,2010,11,525.6
000059,华锦股份,2010,12,490.6
300124,汇川技术,2010,16,451.0
600278,东方创业,2010,16,435.5
000768,中航西飞,2010,16,432.2
000031,大悦城,2010,10,426.1
600111,北方稀土,2010,16,425.6
601717,中创智领,2010,14,413.9
000415,渤海租赁,2010,12,412.9
601688,华泰证券,2010,16,379.1
601866,中远海发,2010,13,371.7
600295,鄂尔多斯,2010,16,364.7
300118,东方日升,2010,7,353.3
002408,齐翔腾达,2010,13,348.9
600694,大商股份,2010,13,337.5
002236,大华股份,2010,16,328.4
002271,东方雨虹,2010,16,328.2
002385,大北农,2010,13,324.0
601018,宁波港,2010,16,310.2
600869,远东股份,2010,13,281.1
601718,ST际华,2010,11,271.6
600160,巨化股份,2010,16,269.9
002302,西部建设,2010,14,269.3
600657,信达地产,2010,13,258.6
601106,中国一重,2010,8,238.9
601179,中国西电,2010,15,238.1
002386,天原股份,2010,11,231.0
600008,首创环保,2010,12,228.1
000883,湖北能源,2010,12,226.3
002056,横店东磁,2010,10,225.9
002429,兆驰股份,2010,16,225.4
000517,荣安地产,2010,10,223.3
002422,科伦药业,2010,16,218.1
600518,康美药业,2010,9,216.4
002400,省广集团,2010,14,213.5
600742,富维股份,2010,16,207.7
002131,利欧股份,2010,7,204.7
002533,金杯电工,2010,7,203.2
600176,中国巨石,2010,14,201.9
600480,凌云股份,2010,13,198.4
002470,金正大,2010,8,198.3
600637,东方明珠,2010,11,194.5
002419,天虹股份,2010,16,193.9
001914,招商积余,2010,13,192.7
002396,星网锐捷,2010,16,191.6
