signal_date,exec_date,source_code,close,ma,ma_prev,weak_run,cross_count,hold_pv,trigger_code,trigger_pv,block_reason,next_source,shares_held
2015-11-23,2015-11-24,002304,64.7500,65.3700,64.2485,0,0,1.2072,000338,0.6464,均线未下行,,3740
2015-11-24,2015-11-25,600519,211.6900,215.2935,214.2475,0,0,0.9960,600188,0.7569,均线未下行,,1600
2015-11-25,2015-11-26,002304,64.5000,65.7005,64.7695,0,0,1.2025,000338,0.6452,均线未下行,,940
2015-11-26,2015-11-27,600519,212.8400,215.3125,215.5900,0,0,1.0014,000651,0.7975,均线未下行,,1600
2015-12-01,2015-12-02,600519,213.8000,215.2985,215.2935,0,0,1.0059,000651,0.7876,均线未下行,601398,1600
2015-12-04,2015-12-07,600519,215.3100,215.6550,215.0065,0,0,1.0130,000651,0.8594,均线未下行,,1600
2015-12-07,2015-12-08,600519,214.5100,215.3390,215.0940,0,0,1.0093,000651,0.8586,均线未下行,,1600
2015-12-08,2015-12-09,600519,211.9400,214.8170,215.2985,0,0,0.9972,000651,0.8272,均线未下行,,1600
2015-12-28,2015-12-29,600660,15.1400,15.2200,14.8265,0,0,1.1011,600309,0.7973,均线未下行,,10100
2015-12-29,2015-12-30,600660,15.2400,15.2495,14.9120,0,0,1.1084,000651,0.9531,均线未下行,,10100
2015-12-31,2016-01-04,600660,15.1900,15.2745,15.0695,0,0,1.1048,000651,0.9221,均线未下行,,10100
2016-03-28,2016-03-29,601288,3.1500,3.1665,3.1165,0,0,0.8822,600031,0.6591,均线未下行,002128,100
2016-03-29,2016-03-30,601288,3.1500,3.1745,3.1265,0,0,0.8822,600031,0.6463,均线未下行,002128,100
2016-04-08,2016-04-11,601288,3.1600,3.1875,3.1880,0,0,0.9173,000792,0.4918,均线未下行,002128,300
2016-04-29,2016-05-03,601288,3.1200,3.1565,3.1680,0,0,0.9149,601225,0.6734,均线未下行,,600
2016-05-03,2016-05-04,601288,3.1400,3.1535,3.1665,0,0,0.9208,601225,0.6788,均线未下行,,700
2016-06-27,2016-06-28,601009,9.3300,9.4414,9.4263,0,0,0.9513,601225,0.7419,均线未下行,,15660
2016-07-27,2016-07-28,002128,7.9100,8.0130,7.8575,0,0,0.8121,000338,0.6202,均线未下行,,157400
2016-07-28,2016-07-29,601288,3.1000,3.1041,3.0804,0,0,0.9455,000338,0.6451,均线未下行,,200
2016-07-29,2016-08-01,002128,7.9600,8.0630,7.9365,0,0,0.8172,600585,0.6365,均线未下行,,157400
2016-08-03,2016-08-04,601009,10.1000,10.1245,9.9605,0,0,0.9858,600585,0.6521,均线未下行,,15660
2016-08-04,2016-08-05,601009,10.0600,10.1475,10.0005,0,0,0.9819,600585,0.6509,均线未下行,,15660
